Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,KO,PEP,KO,PEP,KO,PEP,KO,PEP,KO,PEP
Date,,,,,,,,,,
2012-05-01,25.691232681274414,45.519718170166016,25.714609497083764,45.69087067292075,25.474160792826563,45.02679812652678,25.56099005778207,45.1294906728116,13841000,6591700
2012-05-02,25.76803970336914,45.75249099731445,25.79809451282818,45.81410339483528,25.59438120022323,45.464956029230265,25.627776282249307,45.540258329591204,16558600,5812400
2012-05-03,25.86155128479004,45.807247161865234,25.92834146003158,45.8688595406993,25.78140001704195,45.67716962011519,25.834834195540676,45.76616701948392,15612000,5821300
2012-05-04,25.7146053314209,45.11579132080078,25.91497836988166,45.80040118842095,25.701246789139322,45.09525386047758,25.818130849251315,45.77301616693709,13160800,6971200
2012-05-07,25.80812644958496,45.60871505737305,25.864898373881548,45.84832748635217,25.664525227734142,45.369097405234704,25.70460087611674,45.533407547814,8965400,6910300
2012-05-08,25.7613525390625,45.54024124145508,25.808106151462336,45.663471213417125,25.587696628417522,45.30062885796171,25.717939198371454,45.35539889509111,10561600,6917600
2012-05-09,25.641132354736328,45.143184661865234,25.778055490099906,45.41702448085309,25.544284842672596,44.96518460099534,25.57767992148187,45.27325700893655,14070800,6013300
2012-05-10,25.851533889770508,45.72507858276367,25.948378882789644,45.99892348399628,25.781400891142653,45.300618724695276,25.784741164382538,45.300618724695276,12659200,8106700
2012-05-11,25.871570587158203,45.7319450378418,25.961737582115237,46.04001741454907,25.781401044319207,45.59501991907029,25.781401044319207,45.636100066281344,10604000,5114000
2012-05-14,25.67119789123535,45.97156524658203,25.798100250310032,46.17694512475723,25.58770889366153,45.40333765962646,25.754686888809168,45.574490169685845,15411800,7482800
2012-05-15,25.571006774902344,46.45077896118164,25.764701835767777,46.96423636728864,25.46748124659364,45.807249230608875,25.56766650202351,45.87570917345804,16397800,16062300
2012-05-16,25.490861892700195,47.06692886352539,25.661177616896882,47.286003814400175,25.353938710784597,46.71777636510786,25.601067983332445,46.80677899159872,17804400,12660500
2012-05-17,25.086772918701172,47.080623626708984,25.480841057913132,47.3613162113187,25.04335701276142,46.943703726951654,25.43742515197338,46.95739362766364,22310800,10532100
2012-05-18,24.729433059692383,46.6356201171875,25.14353762285921,46.861537375099964,24.535738044642343,46.25223508844884,25.1301790823853,46.854695037970394,31913000,11275700
2012-05-21,24.8830623626709,46.53978729248047,24.913117179795318,46.704092220090395,24.75615745157112,46.313864752542145,24.782874543158663,46.683554757034095,13488800,5500800
2012-05-22,24.776185989379883,46.608238220214844,24.90642857053232,46.8957730936544,24.68267875654029,46.43023820292244,24.90642857053232,46.49185580332147,15260600,5514200
2012-05-23,24.89641761779785,46.553466796875,24.903095615871035,46.82731176384122,24.652628648077823,46.129006836919444,24.712740822263463,46.471311739837645,18000000,5530300
2012-05-24,25.233715057373047,47.10800552368164,25.33056260508663,47.16962313069306,24.913117596605037,46.485013231040504,24.976570053216523,46.676703167237775,20204600,16245700
2012-05-25,25.123510360717773,46.99162673950195,25.277129811056458,47.30654669099181,25.05003963492927,46.76570420153333,25.253752993567574,46.95055181374745,8999600,9372400
2012-05-29,25.2003173828125,47.46399688720703,25.29048692221462,47.47083922427355,25.06673448421647,46.85469460617106,25.29048692221462,46.89576952120241,10533800,10044700
2012-05-30,25.066730499267578,47.0693359375,25.13018293928685,47.3315203124107,24.986581792004237,46.95204334325099,25.07007077186898,47.3315203124107,13884600,7549600
2012-05-31,24.956531524658203,46.814056396484375,25.120169241570533,47.324628283099784,24.93315470795644,46.68986266579332,25.033339973300308,47.01414658837594,15147600,10839300
2012-06-01,24.408845901489258,46.57947540283203,24.863026322713242,46.648470756383425,24.3821313545038,46.13789882329348,24.70940684904666,46.24138922161654,20843400,10514100
2012-06-04,24.592510223388672,46.558780670166016,24.62590530103029,46.676073306036066,24.231837269944506,46.26209589095984,24.388796937529342,46.5449784400587,13397200,6034400
2012-06-05,24.45893096923828,46.22759246826172,24.592513847370803,46.52427722749894,24.39548107673348,45.993007212310836,24.4889883270618,46.4828810679801,12275200,5607400
2012-06-06,24.916452407836914,46.565673828125,24.916452407836914,46.68297172121966,24.478970950176194,46.25519210077639,24.509025761214758,46.44838119903847,12496400,5743100
2012-06-07,24.80624008178711,46.69676208496094,25.06672523661633,46.90375338326957,24.77952300234798,46.358681210797066,25.04334842907732,46.77955965708586,14342800,6389200
2012-06-08,25.12684440612793,47.131446838378906,25.17026030930726,47.2004474608327,24.762833651701587,46.64157295020584,24.766173924534222,46.74506861987811,11594200,3851800
2012-06-11,24.933151245117188,46.95205307006836,25.307180260398376,47.48332304255508,24.91979270201692,46.9382508419994,25.287143719688764,47.297035075685294,10657200,3874200
2012-06-12,25.113483428955078,47.19353485107422,25.130182243618346,47.262530192714706,24.826281142340356,46.945147409962736,25.040015268928325,47.09003920660991,11911200,5537800
2012-06-13,25.11348533630371,47.29703140258789,25.26142753604021,47.52471550796726,25.03951295379601,47.027945880224536,25.086585821704745,47.12454041317511,9376200,4964900
